view,frame,timestamp,image,track_id,class_id,class_name,score,x1,y1,x2,y2,filtered_x1,filtered_y1,filtered_x2,filtered_y2,association_status,source_detection_index,raw_label,mask_path,mask_score
right_rear,0,1772699910210538000,data\camera\right_rear_camera\1772699910210538000.jpg,-1,2,motorcycle,0.451504,1657.0,618.0,1740.0,677.0,1657.0,618.0,1740.0,677.0,unassigned,3,MOTOR,preprocessed/masks/right_rear_camera/masks/frame_000000_gt2d_003_track_-1_MOTOR.png,0.8372353911399841
right_rear,0,1772699910210538000,data\camera\right_rear_camera\1772699910210538000.jpg,-1,3,person,0.324638,0.0,495.0,103.0,697.0,0.0,495.0,103.0,697.0,unassigned,4,PEDESTRIAN_NORMAL,preprocessed/masks/right_rear_camera/masks/frame_000000_gt2d_004_track_-1_PEDESTRIAN_NORMAL.png,0.7796964645385742
right_rear,0,1772699910210538000,data\camera\right_rear_camera\1772699910210538000.jpg,2000000,2,motorcycle,0.643753,1333.0,588.0,1373.0,682.0,1333.0,588.0,1373.0,682.0,matched,1,CYCLIST_MOTOR,preprocessed/masks/right_rear_camera/masks/frame_000000_gt2d_001_track_-1_CYCLIST_MOTOR.png,0.924551248550415
right_rear,0,1772699910210538000,data\camera\right_rear_camera\1772699910210538000.jpg,3000000,3,person,0.877983,1643.0,591.0,1673.0,676.0,1643.0,591.0,1673.0,676.0,matched,0,PEDESTRIAN_NORMAL,preprocessed/masks/right_rear_camera/masks/frame_000000_gt2d_000_track_-1_PEDESTRIAN_NORMAL.png,0.8947228789329529
right_rear,0,1772699910210538000,data\camera\right_rear_camera\1772699910210538000.jpg,3000001,3,person,0.586844,0.0,496.0,53.0,690.0,0.0,496.0,53.0,690.0,matched,2,PEDESTRIAN_NORMAL,preprocessed/masks/right_rear_camera/masks/frame_000000_gt2d_002_track_-1_PEDESTRIAN_NORMAL.png,0.859839141368866
right_rear,1,1772699910310546000,data\camera\right_rear_camera\1772699910310546000.jpg,-1,3,person,0.361876,1464.0,597.0,1491.0,674.0,1464.0,597.0,1491.0,674.0,unassigned,3,PEDESTRIAN_NORMAL,preprocessed/masks/right_rear_camera/masks/frame_000001_gt2d_003_track_-1_PEDESTRIAN_NORMAL.png,0.8726823925971985
right_rear,1,1772699910310546000,data\camera\right_rear_camera\1772699910310546000.jpg,-1,3,person,0.314982,1688.0,603.0,1720.0,679.0,1688.0,603.0,1720.0,679.0,unassigned,4,PEDESTRIAN_NORMAL,preprocessed/masks/right_rear_camera/masks/frame_000001_gt2d_004_track_-1_PEDESTRIAN_NORMAL.png,0.8895735740661621
right_rear,1,1772699910310546000,data\camera\right_rear_camera\1772699910310546000.jpg,-1,2,motorcycle,0.309912,1662.0,617.0,1745.0,677.0,1662.0,617.0,1745.0,677.0,unassigned,5,MOTOR,preprocessed/masks/right_rear_camera/masks/frame_000001_gt2d_005_track_-1_MOTOR.png,0.8614568710327148
right_rear,1,1772699910310546000,data\camera\right_rear_camera\1772699910310546000.jpg,2000000,2,motorcycle,0.773453,1321.0,588.0,1374.0,681.0,1324.3204345703125,588.2644653320312,1375.6014404296875,681.3966674804688,matched,1,CYCLIST_MOTOR,preprocessed/masks/right_rear_camera/masks/frame_000001_gt2d_001_track_-1_CYCLIST_MOTOR.png,0.894821286201477
right_rear,1,1772699910310546000,data\camera\right_rear_camera\1772699910310546000.jpg,3000000,3,person,0.825942,1654.0,592.0,1684.0,673.0,1654.2791748046875,592.1322021484375,1684.2791748046875,673.6611328125,matched,0,PEDESTRIAN_NORMAL,preprocessed/masks/right_rear_camera/masks/frame_000001_gt2d_000_track_-1_PEDESTRIAN_NORMAL.png,0.8997341394424438
